Text(1) | Tiempo: 36097 ms | TextId: So01.Do01.V2017-06-29.Se02.T01 | No. Concepts: 18 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(2) | Tiempo: 11904 ms | TextId: So01.Do01.V2017-06-29.Se02.T02 | No. Concepts: 7 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(3) | Tiempo: 6503 ms | TextId: So01.Do01.V2017-06-29.Se02.T03 | No. Concepts: 5 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(4) | Tiempo: 5839 ms | TextId: So01.Do01.V2017-06-29.Se02.T04 | No. Concepts: 5 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(5) | Tiempo: 10644 ms | TextId: So01.Do01.V2017-06-29.Se02.T05 | No. Concepts: 8 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(6) | Tiempo: 4814 ms | TextId: So01.Do01.V2017-06-29.Se02.T06 | No. Concepts: 4 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(7) | Tiempo: 102 ms | TextId: So01.Do01.V2017-06-29.Se02.T07 | No. Concepts: 1 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(8) | Tiempo: 42 ms | TextId: So01.Do01.V2017-06-29.Se02.T08 | No. Concepts: 1 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(9) | Tiempo: 1928 ms | TextId: So01.Do01.V2017-06-29.Se02.T09 | No. Concepts: 2 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(10) | Tiempo: 104 ms | TextId: So01.Do01.V2017-06-29.Se02.T10 | No. Concepts: 1 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(11) | Tiempo: 48 ms | TextId: So01.Do01.V2017-06-29.Se02.T11 | No. Concepts: 1 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(12) | Tiempo: 22225 ms | TextId: So01.Do01.V2017-06-29.Se02.T12 | No. Concepts: 2 | Doc: So01.Do01 - 2017-06-29 | Section: Diagnosis 
Text(13) | Tiempo: 107776 ms | TextId: So01.Do01.V2017-06-29.Se04.T01 | No. Concepts: 9 | Doc: So01.Do01 - 2017-06-29 | Section: Signs and symptoms 
Text(14) | Tiempo: 16017 ms | TextId: So01.Do01.V2017-06-29.Se04.T02 | No. Concepts: 13 | Doc: So01.Do01 - 2017-06-29 | Section: Signs and symptoms 
Text(15) | Tiempo: 4845 ms | TextId: So01.Do01.V2017-06-29.Se04.T03 | No. Concepts: 4 | Doc: So01.Do01 - 2017-06-29 | Section: Signs and symptoms 
Text(16) | Tiempo: 7467 ms | TextId: So01.Do01.V2017-06-29.Se04.T04 | No. Concepts: 5 | Doc: So01.Do01 - 2017-06-29 | Section: Signs and symptoms 
Text(17) | Tiempo: 1719 ms | TextId: So01.Do03.V2017-06-29.Se04.T01 | No. Concepts: 2 | Doc: So01.Do03 - 2017-06-29 | Section: Signs and symptoms 
